genome	phylogroup
Esch_coli_FWSEC0007	B1
Esch_coli_FWSEC0008	B1
Esch_coli_FWSEC0010	B1
Esch_coli_G3X16-2	B1
Esch_coli_GB089	B1
Esch_coli_H10	B1
Esch_coli_H15	B1
Esch_coli_H3	B1
Esch_coli_HB-Coli0	B1
Esch_coli_IAI1	B1
Esch_coli_KO11	B1
Esch_coli_KSC1031	B1
Esch_coli_KSC207	B1
Esch_coli_KSC64	B1
Esch_coli_KSC9	B1
Esch_coli_L65	B1
Esch_coli_L725	B1
Esch_coli_M10	B1
Esch_coli_M15	B1
Esch_coli_M18	B1
Esch_coli_M3	B1
Esch_coli_M8	B1
Esch_coli_M8_GCF_001901085.1	B1
Esch_coli_MRE600	B1
Esch_coli_MSHS_472	B1
Esch_coli_NCCP15648	B1
Esch_coli_NCTC11129	B1
Esch_coli_NCTC11476	B1
Esch_coli_NCTC8623	B1
Esch_coli_NCTC9064	B1
Esch_coli_NCTC9082	B1
Esch_coli_NCTC9088	B1
Esch_coli_NCTC9113	B1
Esch_coli_O177_H21	B1
Esch_coli_RM10042	B1
Esch_coli_RM7190	B1
Esch_coli_RM8352	B1
Esch_coli_RM9387	B1
Esch_coli_S10_GCF_001901465.1	B1
Esch_coli_S21	B1
Esch_coli_S3	B1
Esch_coli_S40	B1
Esch_coli_S42	B1
Esch_coli_S50	B1
Esch_coli_S51	B1
Esch_coli_S56	B1
Esch_coli_SCEC020022	B1
Esch_coli_SE11	B1
Esch_coli_SMN013SH2	B1
Esch_coli_SMN152SH1	B1
Esch_coli_W2-5	B1
Esch_coli_WAT	B1
Shig_boydii_54-1621	B1
Shig_boydii_59-248	B1
Shig_boydii_83-578	B1
Shig_boydii_ATCC_35964	B1
Shig_boydii_ATCC_49812	B1
Shig_boydii_ATCC_8700	B1
Shig_boydii_ATCC_9210	B1
Shig_boydii_ATCC_BAA-1247	B1
Shig_boydii_Sb227	B1
Shig_dysenteriae_93-119	B1
Shig_dysenteriae_ATCC_12037	B1
Shig_dysenteriae_ATCC_49347	B1
Shig_dysenteriae_ATCC_9753	B1
Shig_dysenteriae_CFSAN010956	B1
Shig_dysenteriae_E670_74	B1
Shig_flexneri_0228	B1
Shig_flexneri_04-3145	B1
Shig_flexneri_64-5500	B1
Shig_flexneri_8401	B1
Shig_flexneri_89-141	B1
Shig_flexneri_98-3193	B1
Shig_flexneri_ATCC_29903	B1
Shig_flexneri_FDAARGOS_74	B1
Shig_flexneri_NCTC_9728	B1
Shig_flexneri_SFL1520	B1
Shig_sonnei_866	B1
Shig_sonnei_AR_0030	B1
Esch_coli_1105	B2
Esch_coli_2015C-4136CT1	B2
Esch_coli_317	B2
Esch_coli_3385	B2
Esch_coli_377323_2f	B2
Esch_coli_382634_2f	B2
Esch_coli_536	B2
Esch_coli_95-3322	B2
Esch_coli_ABU_83972	B2
Esch_coli_APEC_IMT5155	B2
Esch_coli_APEC_O1	B2
Esch_coli_APEC_O18	B2
Esch_coli_AR_0017	B2
Esch_coli_AR_0081	B2
Esch_coli_AR_0089	B2
Esch_coli_AR_451	B2
Esch_coli_ATCC_11775	B2
Esch_coli_BH100_substr_MG2017	B2
Esch_coli_BH100L_substr_MG2017	B2
Esch_coli_CFSAN067215	B2
Esch_coli_CFT073	B2
Esch_coli_clone_D_i14	B2
Esch_coli_D8	B2
Esch_coli_E2348_69	B2
Esch_coli_Ecol_244	B2
Esch_coli_Ecol_542	B2
Esch_coli_Ecol_743	B2
Esch_coli_Ecol_AZ146	B2
Esch_coli_Ecol_AZ159	B2
Esch_coli_ECONIH2	B2
Esch_coli_Es_ST80_L1_NDM_10_2017	B2
Esch_coli_ExPEC_XM	B2
Esch_coli_FDAARGOS_144	B2
Esch_coli_FDAARGOS_536	B2
Esch_coli_FHI_NMBU_03	B2
Esch_coli_G749	B2
Esch_coli_HS13-1	B2
Esch_coli_IHE3034	B2
Esch_coli_JJ1886	B2
Esch_coli_LF82	B2
Esch_coli_LS4	B2
Esch_coli_M16807	B2
Esch_coli_MCJCHV-1	B2
Esch_coli_MS7163	B2
Esch_coli_MS8345	B2
Esch_coli_MVAST0167	B2
Esch_coli_NCTC11151	B2
Esch_coli_NCTC9022	B2
Esch_coli_NCTC9085	B2
Esch_coli_NGF1	B2
Esch_coli_Nissle_1917_GCF_000714595.1	B2
Esch_coli_NMEC_O18	B2
Esch_coli_PA45B	B2
Esch_coli_PAR	B2
Esch_coli_PSUO2	B2
Esch_coli_RM14715	B2
Esch_coli_RM14723	B2
Esch_coli_SA186	B2
Esch_coli_SaT040	B2
Esch_coli_SE15	B2
Esch_coli_SF-088	B2
Esch_coli_SF-173	B2
Esch_coli_SF-468	B2
Esch_coli_SK1144	B2
Esch_coli_STEC299	B2
Esch_coli_strain_Z247	B2
Esch_coli_UM146	B2
Esch_coli_UPEC_26-1	B2
Esch_coli_ZH063	B2
Esch_coli_14EC029	C
Esch_coli_A1_181	C
Esch_coli_ACN001	C
Esch_coli_ACN002	C
Esch_coli_AMA1167	C
Esch_coli_APEC_O78	C
Esch_coli_AR_0069	C
Esch_coli_AR434	C
Esch_coli_C8	C
Esch_coli_cq9	C
Esch_coli_CV839-06	C
Esch_coli_D3	C
Esch_coli_EC-TO75	C
Esch_coli_Es_ST410_NW1_NDM_09_2017	C
Esch_coli_GCF_000819645_1	C
Esch_coli_K71-77	C
Esch_coli_UK_Dog_Liverpool	C
Esch_coli_WCHEC035148	C
Esch_coli_042	D
Esch_coli_06-00048	D
Esch_coli_118UI	D
Esch_coli_1190	D
Esch_coli_144_GCF_002310595.1	D
Esch_coli_2012C-4221	D
Esch_coli_2017C-4173W12	D
Esch_coli_266917_2	D
Esch_coli_28Eco12	D
Esch_coli_7_2	D
Esch_coli_746	D
Esch_coli_A1_136	D
Esch_coli_AR_0006	D
Esch_coli_C1	D
Esch_coli_C4	D
Esch_coli_CFSAN018748	D
Esch_coli_CFSAN061770	D
Esch_coli_DA33137	D
Esch_coli_E-1246	D
Esch_coli_EC-1639	D
Esch_coli_Ecol_545	D
Esch_coli_FDAARGOS_448	D
Esch_coli_MRSN346647	D
Esch_coli_NCTC11113	D
Esch_coli_PCN033	D
Esch_coli_S10	D
Esch_coli_ST2747	D
Esch_coli_ST2747_GCF_000599685.1	D
Esch_coli_WCHEC000837	D
Esch_coli_Z1002	D
Shig_dysenteriae_ATCC_12039	D
Esch_coli_149	E
Esch_coli_14EC033	E
Esch_coli_2013C-4465	E
Esch_coli_88-3493	E
Esch_coli_CB9615	E
Esch_coli_DSM_103246	E
Esch_coli_EC1515	E
Esch_coli_F6326-C1	E
Esch_coli_F8111-1SC3	E
Esch_coli_FWSEC0002	E
Esch_coli_NCTC10444	E
Esch_coli_NCTC9112	E
Esch_coli_pv15-279	E
Esch_coli_RM12579	E
Esch_coli_RM12581	E
Esch_coli_RM13516	E
Esch_coli_RM9872	E
Esch_coli_Santai	E
Esch_coli_TR01	E
Shig_dysenteriae_80-547	E
Esch_coli_1428	F
Esch_coli_2014C-3075	F
Esch_coli_2016C-3878	F
Esch_coli_AR_0013	F
Esch_coli_AR_0077	F
Esch_coli_CE10	F
Esch_coli_CLSC36	F
Esch_coli_CREC-544	F
Esch_coli_EC17GD31	F
Esch_coli_ECCNB12-2	F
Esch_coli_Ecol_881	F
Esch_coli_ECONIH1	F
Esch_coli_FC853_EC	F
Esch_coli_IAI39	F
Esch_coli_IMT16316	F
Esch_coli_M160133	F
Esch_coli_MRY15-117	F
Esch_coli_MS14385	F
Esch_coli_MS6198	F
Esch_coli_RS571	F
Esch_coli_SMS-3-5	F
Esch_coli_ST648	F
Esch_coli_WB61	F
Esch_coli_104	G
Esch_coli_14EC020	G
Esch_coli_2009C-3133	G
Esch_coli_2012C-4502	G
Esch_coli_2014C-3338	G
Esch_coli_20Ec-P-124	G
Esch_coli_APEC_O2-211	G
Esch_coli_D10	G
Esch_coli_MDR_56	G
Esch_coli_MSHS_133	G
Esch_albertii_05-3106	albertii
Esch_albertii_06-3542	albertii
Esch_albertii_07-3866	albertii
Esch_albertii_1551-2	albertii
Esch_albertii_2012EL-1823B	albertii
Esch_albertii_2013C-4143	albertii
Esch_albertii_2014C-4015	albertii
Esch_albertii_2014C-4356	albertii
Esch_albertii_CB9786	albertii
Esch_albertii_ChinaSP140150	albertii
Esch_albertii_EC06-170	albertii
Esch_albertii_KF1	albertii
Esch_albertii_NCTC_9362	albertii
Esch_albertii_NIAH_Bird_3	albertii
Esch_coli_2013C-4282	cladeI
Esch_sp._E4742	cladeII
Esch_coli_NCTC11133	cladeV
Esch_coli_NCTC8196	cladeV
Esch_marmotae_HT073016	cladeV
Esch_fergusonii_ATCC_35469	fergusonii
Esch_fergusonii_EFCF056	fergusonii
